Timestamp,Product Name,Quantity,Price
1630413367,Product B,3,10.21
1630449023,Product D,2,36.4
1630440645,Product A,10,94.5
1630416183,Product C,1,47.48
1630451980,Product A,2,36.68
1630415540,Product A,9,11.66
1630426349,Product A,10,81.16
1630433230,Product C,6,47.25
1630427931,Product C,2,73.69
1630446987,Product A,6,51.75
1630433395,Product C,2,26.25
1630445486,Product C,7,47.09
1630448206,Product B,9,62.96
1630434807,Product C,3,76.06
1630413618,Product B,4,21.46
1630425611,Product C,8,84.69
1630435741,Product D,2,78.41
1630417806,Product A,3,75.73
1630417723,Product C,6,91.05
1630441129,Product C,6,83.14
1630443333,Product B,7,30.7
1630448708,Product C,4,65.65
1630414764,Product A,4,51.97
1630436728,Product D,8,40.22
1630420877,Product A,5,50.12
1630418426,Product D,3,22.45
1630452014,Product A,10,59.09
1630434839,Product D,9,87.57
1630433963,Product B,2,25.89
1630453076,Product D,3,24.01
1630436401,Product A,1,99.03
1630448988,Product A,6,30.79
1630436868,Product C,6,53.26
1630431223,Product D,1,41.69
1630417275,Product C,1,12.66
1630434309,Product C,2,35.25
1630427922,Product B,1,77.05
1630425802,Product B,1,29.11
1630413333,Product D,3,35.23
1630422471,Product B,4,35.91
1630441925,Product B,3,92.66
1630438866,Product A,9,69.0
1630413121,Product B,2,82.09
1630435430,Product C,5,46.11
1630443182,Product B,2,58.63
1630453297,Product C,4,29.77
1630413404,Product B,10,44.46
1630414306,Product B,2,16.2
1630417255,Product C,3,12.73
1630412181,Product C,10,83.76
1630435173,Product B,4,94.35
1630414385,Product C,7,42.78
1630434717,Product C,1,77.78
1630438649,Product C,1,84.66
1630430688,Product D,4,41.04
1630440414,Product A,10,41.88
1630427058,Product A,5,62.45
1630436886,Product C,3,53.54
1630429253,Product B,7,11.02
1630452737,Product B,1,82.69
1630451104,Product D,7,18.04
1630447672,Product B,10,39.2
1630442353,Product D,6,97.58
1630438844,Product C,4,35.94
1630415190,Product C,4,42.04
1630444556,Product B,10,65.88
1630445034,Product C,4,68.22
1630453346,Product B,9,30.99
1630437903,Product C,9,89.09
1630453698,Product D,5,23.5
1630434250,Product A,8,93.85
1630452088,Product B,1,64.89
1630452532,Product D,2,91.56
1630445512,Product D,9,81.16
1630451774,Product A,4,33.7
1630414943,Product C,3,51.21
1630422552,Product A,6,48.61
1630416044,Product B,5,86.0
1630442065,Product B,2,23.87
1630417852,Product B,9,92.52
1630431210,Product C,10,49.28
1630428233,Product A,6,17.75
1630444586,Product C,1,29.81
1630424571,Product B,1,25.97
1630411740,Product C,8,68.54
1630441111,Product A,2,63.17
1630448419,Product D,4,24.35
1630411287,Product D,8,71.27
1630451929,Product B,3,12.08
1630432374,Product C,7,20.55
1630419274,Product C,6,53.01
1630452068,Product D,9,96.8
1630439336,Product C,7,92.55
1630425974,Product B,5,98.93
1630447514,Product C,10,31.91
1630448533,Product D,10,37.14
1630422577,Product C,3,60.12
1630443364,Product A,4,10.16
1630451070,Product A,7,22.63
1630435132,Product A,6,98.6
